sample_id,family,n_variables,n_objectives,n_constraints,n_data_refs,n_index_signatures,index_signatures,variable_names,constraint_names,objective_contract,data_ref_leaves,code_bytes
P003-S07,P003,1,1,3,6,1,[],selected_engagement,at_most_one_target_per_hfv|binary_domain|target_max_hfvs_capacity,wta.linear_selected_contribution,hfvs|json|md|target_max_hfvs|targets,15069
P004-S04,P004,7,1,6,1,5,"[]|[engageable_pairs,time_slots]|[radars,time_slots]|[ships,time_slots]|[threats]",Negative heading wrap indicator|Positive heading wrap indicator|Ship heading state|engagement_start_selection|positive_heading_wrap|radar_support_assignment|threat_engaged_indicator,coverage_linking|fixed_previous_engagements|radar_support_capacity|radar_support_to_capacity|ship_heading_turn_rate|weapon_round_limit,,engageable_pairs,15142
P004-S05,P004,1,1,12,1,1,[engageable_pairs],public_assignment_selection,coverage_linking|fixed_previous_engagements|radar_support_capacity|radar_support_to_capacity|ship_heading_turn_rate|weapon_round_limit,,engageable_pairs,15339
P004-S06,P004,7,1,6,11,5,"[]|[engageable_pairs]|[radars,time_slots]|[ships,time_slots]|[threats]",Negative heading wrap indicator|Positive heading wrap indicator|Ship heading state|engagement_start_selection|positive_heading_wrap|radar_support_assignment|threat_engaged_indicator,coverage_linking|fixed_previous_engagements|radar_support_capacity|radar_support_to_capacity|ship_heading_turn_rate|weapon_round_limit,,engageable_pairs|fire_channel_radar|fire_channel_ship|fire_channel_weapon_system|fixed_previous_engagements|public_instance_data|radar_capacity|radar_illumination_alternatives|threats|time_slots|weapon_rounds,15172
P004-S07,P004,7,1,6,11,5,"[]|[engageable_pairs]|[radars,time_slots]|[ships,time_slots]|[threats]",Negative heading wrap indicator|Positive heading wrap indicator|Ship heading state|engagement_start_selection|positive_heading_wrap|radar_support_assignment|threat_engaged_indicator,coverage_linking|fixed_previous_engagements|radar_support_capacity|radar_support_to_capacity|ship_heading_turn_rate|weapon_round_limit,,engageable_pairs|fire_channel_radar|fire_channel_ship|fire_channel_weapon_system|fixed_previous_engagements|public_instance_data|radar_capacity|radar_illumination_alternatives|threats|time_slots|weapon_rounds,15044
P005-S04,P005,1,1,4,14,1,[],stage_target_weapon_allocation,public_candidate_membership|stage_target_availability|stage_weapon_inventory_capacity|target_damage_threshold,wta.linear_selected_contribution,json': 'f2029993b8c09ebae3ae2138431d909a0825d950bb0d0ac97dea5f5471ef8310'|json']|md'|md': '28eac8e3ce01660a43cf0a5bd09121b3ebd1a2b51652e0436f13f988bc880663'|md': 'e57c2e63ddd9da3acaf1bc9b2f4c827aec1ba8e878bedf3e29e3fca4c7f0dd5e'}|stage_weapon_inventory'|stages'|target_damage_threshold'|target_stage_availability'|targets'|weapon_categories'|weapon_target_destroy_probability'|weapon_unit_cost'],15917
P005-S05,P005,1,1,3,7,1,[engageable_pairs],engagement_selection,public_candidate_membership|stage_weapon_inventory_limit|target_stage_availability_limit,wta.linear_selected_contribution,engageable_pairs|stage_weapon_inventory|stages|target_damage_threshold|target_stage_availability|targets|weapon_categories,15456
P005-S06,P005,1,1,4,12,1,[],weapon_assignment_count,public_candidate_membership|stage_weapon_inventory_capacity|target_damage_threshold|target_stage_availability,wta.linear_selected_contribution,'sha256': '530561996fde55de84f7cc05b7e5343ea346927ae3d8699efa62216e04b848a2'}|'sha256': 'bca380caf43e8d2f9e0664c8a41743a59a3a8027c11624fba710401ac5e94a52'}|'sha256': 'c36e0f28ff8ccf863e8cdc1dbc3ea6af61fd857b3a50ef136c36390e7cd6a30e'}|'stages'|'target_damage_threshold'|'target_stage_availability'|'targets'|'weapon_categories']|['stage_weapon_inventory'|json'|md',16248
P005-S07,P005,3,1,10,14,1,[],stage_target_weapon_assignment|target_achieved_damage|used_weapons_per_stage_category,binary_and_integer_domains|coverage_linking|fixed_previous_engagements|public_candidate_membership_and_availability|radar_support_capacity|stage_weapon_inventory_capacity|target_achieved_damage_definition|target_damage_threshold_requirement|used_weapons_definition|weapon_round_limit,wta.linear_selected_contribution,'used_for': 'deterministic damage coefficients if materialized'}|'used_for': 'index set s'}|'used_for': 'index set t'}|'used_for': 'index set w'}|'used_for': 'inventory capacity'}|'used_for': 'stage-target availability'}|'used_for': 'target damage requirement'}|stage_weapon_inventory'|stages'|target_damage_threshold'|target_stage_availability'|targets'|weapon_categories'|weapon_target_destroy_probability',15575
P006-S04,P006,2,1,9,7,1,[],selected_eligible_pair|staged_selected_eligible_pair,at_least_one_eligible_defense_per_missile|binary_domain|guidance_compatibility|jammer_horizontal_vertical_coverage|one_at_a_time_non_jammer|over_assignment_prevention|public_candidate_membership|range_bounds|staged_binary_domain,wta.linear_selected_contribution,dynamic_stages|eligible_weapon_missile_pairs|json|md|missiles|weapon_types,16099
P006-S05,P006,1,1,2,19,1,[eligible_weapon_missile_pairs],eligible_engagement_selection,public_candidate_membership|solution_view_selection_consistency,wta.linear_selected_contribution,'sha256': '18dd119aa22e5727a9a424c99eeb2a2c890ddda7ebb611e3def80517a3a69156'}|'sha256': '4363716e2d024d891200487974bc920a6c0c52cf86673ba797c1914bd1682fdc'}|'sha256': 'f91387ceaa7b65d145e56efbd19eb8988d92d683c518adfd238559c0c057e404'}|'type': 'authoritative_candidate_set'}|'type': 'authoritative_entity_set'}|dynamic_stages'|eligible_weapon_missile_pairs'|json'|md'|missiles'|weapon_types'|{'name': 'dynamic_stages'|{'name': 'eligible_weapon_missile_pairs'|{'name': 'missiles'|{'name': 'weapon_types',17987
P006-S06,P006,1,1,10,5,1,"[dynamic_stages,eligible_weapon_missile_pairs]",selected_engagement,C01_domain|C02_public_candidate_membership|C03_missile_assignment_uniqueness|C04_solution_view_mapping|C05_effectiveness_source_only|C06_weapon_uniqueness|coverage_linking|fixed_previous_engagements|radar_support_capacity|weapon_round_limit,wta.linear_selected_contribution,base_intercept_probability|dynamic_stages|eligible_weapon_missile_pairs|missiles|weapon_types,17951
P006-S07,P006,1,1,2,12,1,[eligible_weapon_missile_pairs],engagement_selection,binary_domain|public_candidate_membership,wta.linear_selected_contribution,'sha256': '4c42f706a8fd422fc8d2117fa42b4364f215ced158046bbed7f4e2d9e982294d'}]|'sha256': '87f148970083a50410e467401f800894810a1d21382f57a7c4f068dd3dae7d82'}|'sha256': 'c37fe228e28b41260dc5544430a1e560d3b775373413322ef6736fce13ac8d1a'}|base_conditional_destroy_probability'|base_intercept_probability']|dynamic_stages'|eligible_weapon_missile_pairs'|json'|md'|missiles'|weapon_types',19167
P007-S04,P007,1,3,5,6,1,[],EngagementAssignment,platform_weapon_capacity|public_candidate_membership|range_feasibility|target_lower_assignment_bound|target_max_assigned_weapons,,1eae5ea467ecb4f146d57a81a79f2f7895587886c05dc941e316fa9426c5010d|6c78f109b4869904168763a837e891228f254c65165bf358ba7fa5bbe516dd53|a15aa1579b639983a9113a5057a647ec65dfa768f771298f1aae512586ee9be5|candidate set platforms|candidate set targets|engagement effectiveness matrix for edge existence and objective coefficient,15308
P007-S05,P007,1,3,6,14,1,[],platform_target_assignment,binary_domain|platform_weapon_capacity|public_candidate_membership|range_feasibility|target_lower_assignment_bound|target_max_assigned_weapons,wta.linear_selected_contribution,hit_probability|json|json: b99c9a9951cfe54f1c2f389a71345f739e345d36264029193f2307281298fa20|md|md: 430c270156d3c5ab770ad6364a78351e9335987a80cd8d2f6c45172d27275327|md: a15aa1579b639983a9113a5057a647ec65dfa768f771298f1aae512586ee9be5|platform_weapon_capacity|platforms|range_feasibility|target_max_assigned_weapons|targets,15246
P007-S06,P007,1,3,4,10,1,"[platforms,targets]",platform_target_assignment,platform_weapon_capacity|public_candidate_membership|range_feasibility_restriction|target_max_assigned_weapons,wta.linear_selected_contribution|wta.residual_target_threat|wta.weapon_resource_cost,38aaff72b7c228dafc98a0166adec43e78c7b6e7d61e4cdc4db67209a35b53c2|a15aa1579b639983a9113a5057a647ec65dfa768f771298f1aae512586ee9be5|fc816d3228fc02e5f38ce421ca57e3bcc7d349c17da8770d860957a4e08fa0bc|hit_probability'|platform_weapon_capacity'|platforms'|range_feasibility'|target_max_assigned_weapons'|target_value']|targets',15046
P007-S07,P007,2,1,2,5,1,[],platform_selection|target_selection,public_candidate_membership for PLATFORMS|public_candidate_membership for TARGETS,wta.linear_selected_contribution,json|md|platforms|targets,15170
P008-S04,P008,1,1,4,13,1,[engagement_options],engagement_selection,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,authoritative sparse candidate set e|objective term|objective term per candidate|objective weight|per-candidate sensor load coefficient|public discrete hit time step per candidate|sensor capacity bound|sensor id per candidate|target id per candidate|target values for objective constant|weapon id per candidate|weapon inventory bound|weapon min spacing parameter,25978
P008-S05,P008,1,1,4,21,1,[engagement_options],Engagement selection,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,'role': 'authoritative candidate set e|'role': 'constant term total_target_value'}|'role': 'defines public symbolic names for sensor capacity|'role': 'weapon inventory bounds'}|'role': 'weapon minimum launch interval parameter'}|and timing fields used in constraints'}|engagement_options'|hit_step'}|json']}|md'|required fields sensor|target|target_value'|tracking intervals|weapon_inventory'|weapon_min_launch_interval_steps'|weapon_vehicle|weights|{'ref': 'public_file_names',25688
P008-S06,P008,1,1,4,6,1,[engagement_options],engagement_assignment,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval_hit_step_surrogate,swta.expected_remaining_target_value_plus_cost,engagement_options|sensors|target_value|targets|time_horizon|weapons,25204
P008-S07,P008,1,1,4,12,1,[engagement_options],selected_engagement,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,combined_effectiveness|engagement_options|hit_step|sensor|sensor_channel_capacity|sensor_cost|target|target_value|weapon_cost|weapon_inventory|weapon_min_launch_interval_steps|weapon_vehicle,26019
P009-S04,P009,1,1,4,14,1,[engagement_options],engagement_assignment,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,engagement_options'|json': '88d0d804648cedc625792678829052d6e932ad3db865201b57b63c51f13fec9b'|json']|md'|md': 'a79e51affd67b43feed7e942277208f07a356acc871acf26cd3c280945ac1eff'|md': 'f51c0b97a74d25fa634d4977f7899cb988361a4eb7fad71bfbdc67138f7fbdd8'}|sensor_channel_capacity'|sensors'|target_value'|targets'|time_moments'|weapon_inventory'|weapon_min_launch_interval_steps'],33879
P009-S05,P009,1,4,4,8,1,[engagement_options],engagement_assignment,Each target is engaged by at most one selected public option|Minimum start/launch spacing per weapon vehicle using public weapon firing interval|Sensor channel capacity during public tracking intervals|Weapon vehicle inventory limit,swta.makespan|swta.operational_risk|swta.remaining_target_value|swta.resource_cost,engagement_options|public_file_names|public_file_sha256|sensor_channel_capacity|sensors|target_value|targets|weapon_vehicles,33354
P009-S06,P009,1,1,4,9,1,[engagement_options],candidate_engagement_assignment,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,engagement_options|public_file_names|public_file_sha256|sensor_channel_capacity|sensors|target_value|targets|weapon_inventory|weapon_min_launch_interval_steps,34240
P009-S07,P009,1,1,4,22,1,[],engagement_assignment,Sensor channel capacity per public tracking step|Target assignment uniqueness|Weapon minimum launch interval using public hit-step windows|Weapon vehicle inventory,swta.expected_remaining_target_value_plus_cost,'role': 'authoritative candidate set e and per-candidate sensor|'role': 'sensor channel capacity parameter used in sensor_channel_capacity_time_indexed_weighted'}|'role': 'target value constant term and per-candidate target_value coefficient'}|'role': 'weapon minimum launch interval parameter used with public hit_step windows'}|'role': 'weapon vehicle inventory parameter used in weapon_inventory'}|and target value fields'}|cost|effectiveness|engagement_options'|hit_step|sensor_channel_capacity'|target|target_value'|tracking interval|weapon_inventory'|weapon_min_launch_interval_steps'|weapon_vehicle,34583
P010-S04,P010,2,1,4,6,1,[],target_engaged_indicator|weapon_target_assignment,public_candidate_membership|target_engaged_link|target_kill_threshold|weapon_usage_limit,wta.linear_selected_contribution,json'}|target_kill_threshold'|target_value'|targets'|weapon_target_kill_probability'|weapons',15664
P010-S05,P010,1,1,5,6,1,[],weapon_target_assignment,coverage_linking|fixed_previous_engagements|public_candidate_membership|radar_support_capacity|weapon_round_limit,wta.linear_selected_contribution,json'}|target_kill_threshold'|target_value'|targets'|weapon_target_kill_probability'|weapons',15341
P010-S06,P010,1,1,3,8,1,"[targets,weapons]",weapon_target_assignment,public_candidate_membership|target_capacity_only_if_public|weapon_unique_assignment,wta.linear_selected_contribution,'sha256': '26309e548bc771e3842783e1bcd3691c8d46507583a8153e72685cb2a9241202'|'sha256': '9076aa8643817505af2c90d83cbdb784ceb38ac5c24702814ff846e14019669f'}|'sha256': 'cec40a2c3e3c8c857c3adcfab49f1aee9911b3c96daa2059680e59a31e90d971'}|json'|md'|targets'|weapons']},15815
P010-S07,P010,2,1,5,17,1,[],target_destroyed|weapon_target_assignment,binary_domain|public_candidate_membership|selected_engagements_solution_view|single_weapon_use|target_destroyed_only_if_kill_threshold_reached,wta.max_destroyed_value_minus_penalties,'role': 'authoritative target candidate set'}|'role': 'authoritative weapon candidate set'}|'role': 'public target threshold field|'role': 'public target value for contribution binding'}|'role': 'public weapon-target effectiveness for contribution binding'}|json': 'aa5357bb8e5611670b4c1bee6e3e263fd7b8fd77f59ac4af110f37a083876db5'}}|json']|md'|md': '5a31eaf3b5a78d32879f526a80d17e5884c78babd5f1645b703b9da5516b7f2b'|md': 'ca4345061f9d2ab03b52adae7dea3f2cb2596ee3277ae90867030716c4f0e5aa'|retained for builder binding'}|target_kill_threshold'|target_value'|targets'|weapon_target_kill_probability'|weapons',15471
P011-S04,P011,2,1,1,8,2,[]|[targets],missile_selection|target_selection,public_candidate_membership,wta.linear_selected_contribution,json|md|missile_cost (available public coefficient field)|missile_destructive_payload (available public field)|missile_target_penetration_probability (available public field)|missiles (candidate set missiles)|targets (candidate set targets),15904
P011-S05,P011,2,2,3,7,1,[],missile_target_assignment|target_kill_probability,missile_single_use|public_candidate_membership|target_independent_failure_effectiveness,wta.expected_target_value_weighted_effectiveness|wta.linear_selected_contribution,json)|missile_cost']|missile_destructive_payload'|missile_target_penetration_probability'|missiles'|target_health']|targets'],15294
P011-S06,P011,1,2,2,13,1,[],missile_target_assignment,binary_domain|missile_exactly_one_target,,'missile_cost'|'missile_destructive_payload'|'missile_target_penetration_probability'|'target_health']|'target_value'|'targets'|['missiles'|json': 'cd50350ff1407704ed235aafd92b1883fc56ee72186f448c3bdae7a392ea9080'|json']|md'|md': '9259866802ccfbd920c833da2bc0a3f7b8faea01123e67dd10e1ab94ffcf549f'}|md': 'f0c3fba5d7bce9f655123ff27adf2914751ddecbd3821c54a3ecc324e0873bc5',15453
P011-S07,P011,2,1,3,8,1,[],engagement_assignment|target_kill_probability,missile_single_assignment|public_candidate_membership|target_stochastic_kill_probability,wta.expected_value_weighted_effectiveness,missile_cost|missile_destructive_payload|missile_target_penetration_probability|missiles|public_file_names|target_health|target_value|targets,0
P012-S04,P012,1,1,2,4,1,[],candidate_item_selection,binary_selection_domain|public_candidate_membership,wta.linear_selected_contribution,missile_vehicles|radars|targets|time_slots,15775
P012-S05,P012,3,1,10,4,1,[],InterceptionTime|MissileVehicleAssignment|RadarTrackingAssignment,BinaryDecisionDomains|ConsecutiveInterceptionSpacing|MissileRadarConsistency|MissileVehicleLoad|OneMissileVehiclePerAttempt|OneRadarPerAttempt|RadarChannelCapacity|RadarDetectionFeasibility|RadarTrackingTiming|TargetMaxInterceptionCount,adrap_expected_intercepted_value,missile_vehicles|radars|targets|time_slots,16094
P012-S06,P012,1,1,5,4,1,[],public_assignment_selection,coverage_linking|fixed_previous_engagements|public_candidate_membership|radar_support_capacity|weapon_round_limit,wta.linear_selected_contribution,missile_vehicles|radars|targets|time_slots,16280
P012-S07,P012,4,1,5,10,4,"[interception_attempts_by_target,missile_vehicles,radars,targets,time_slots]|[interception_attempts_by_target,missile_vehicles]|[interception_attempts_by_target,radars]|[interception_attempts_by_target]",interception_time|missile_attempt_assignment|radar_tracking_assignment|selected_engagement_assignment,missile_time_capacity|missile_vehicle_load|public_candidate_membership|radar_time_capacity|target_time_capacity,wta.linear_selected_contribution,json': 'bd2750310c2969618dd6556552bfe685d3d98a7ee5acddf22676ee0bbfed0960'}|json']|md'|md': '33a406a9e33c974dd2f376772c3ea0a2394286e817cdf435b11558d4651b3ae5'|md': '403facf2b51c7dcc509bdbc49a99a6f4b8a8323547b5bd163d009c216a1b88bc'|missile_vehicles'|radars'|targets'|time_slots'},15714
P013-S04,P013,2,1,6,11,1,"[far_radars,frames,uavs]",uav_radar_assignment|uav_radar_bandwidth_allocations,assignment_respects_feasibility|bandwidth_nonnegative_domain|bandwidth_positive_only_if_assigned|binary_assignment_domain|each_uav_at_most_one_radar_per_frame|sum_bandwidth_covers_suppressed_radar_working_bandwidth,wta.linear_selected_contribution,cost_factor|dynamic_frame_data|effect_function_parameters|far_radars|far_working_bandwidth|frames|json|md|uav_far_jsr|uavs,15808
P013-S05,P013,1,1,3,9,1,[],selected_candidate,binary_domain|public_candidate_membership|solution_view_consistency,wta.linear_selected_contribution,'sha256': '152d385edd7e07dcc1da28a42ba8af857f6a526865207b314a9b87212ab6eab8'}|'sha256': '6eaf8b1a5c33813e9d1b3d348533a12ea9b41e97538aae8376e0abc6808ebb4e'}|'sha256': 'e223f426d9a4adbe56399917a16ea0e488242d410c9cc3e46194a8a0b9ec3067'}|far_radars'}|frames'}|json'|md'|uavs'},16260
P013-S06,P013,3,1,4,1,2,[]|[threats],engagement_start_selection|radar_support_assignment|threat_engaged_indicator,coverage_linking|fixed_previous_engagements|radar_support_capacity|weapon_round_limit,,public_instance_data,15831
P013-S07,P013,3,1,4,1,2,[]|[threats],engagement_start_selection|radar_support_assignment|threat_engaged_indicator,coverage_linking|fixed_previous_engagements|radar_support_capacity|weapon_round_limit,,public_instance_data,15855
P014-S04,P014,1,1,4,14,1,[],selected_engagement,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,combined_effectiveness|engagement_options|hit_step|sensor|sensor_channel_capacity|sensor_cost|target|target_value|tracking_end_step|tracking_start_step|weapon_cost|weapon_inventory|weapon_min_launch_interval_steps|weapon_vehicle,30974
P014-S05,P014,1,1,4,22,1,[sensor],engagement_selection,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,3-frozen\\samples\\formal\\p014-s05'}|combined_effectiveness'|engagement_options'|hit_step'|json': '7ca5c0f3e314cf15ece03d9db1d3273c090343e8b482f3b1206c87ba52cf2bf7'|json']|md'|md': '9807887909fabb51df35640b61ba04bd5fa62fb63899fa5f62457ff508b7ba64'}|md': 'd28265860ae20f0d55cf1b8e89dae6a64ae0e6b4b9127ea3a78ef156a0b2b939'|sensor'|sensor_channel_capacity'|sensor_cost'|target'|target_value'|tracking_end_step'|tracking_start_step'|weapon_cost'|weapon_inventory'|weapon_min_launch_interval_steps']|weapon_vehicle',31409
P014-S06,P014,1,1,4,24,1,[],engagement_selection,sensor_channel_capacity_time_indexed_weighted|target_at_most_one|weapon_inventory|weapon_min_launch_interval,swta.expected_remaining_target_value_plus_cost,'description': 'authoritative candidate set e|'}|combined_effectiveness|engagement_option_count'|engagement_options'|hit_step|required fields include sensor|sensor_capacity'|sensor_cost'|target|target_value'|weapon_cost'|weapon_vehicle|{'id': 'd001'|{'id': 'd002'|{'id': 'd003'|{'id': 'd004'|{'id': 'd005'|{'id': 'd006',31882
P014-S07,P014,1,1,4,7,1,[engagement_options],engagement_selection,At least one sensor per target|At least two weapons per target|Sensor channel capacity time-indexed weighted|Weapon inventory limit,swta.expected_remaining_target_value_plus_cost,engagement_options|json|md|sensor_platforms|target_value|targets,31025
P015-S04,P015,3,1,7,9,1,[],candidate_selection|original_path_selection|replanned_path_selection,interception_activation_links_to_coverage|node_potential_segment_binding|path_cost_objective_binding|public_candidate_membership|public_interval_update_for_replanning|replanned_segment_flow_conservation|sequential_response_segment_accounting,wta.adversarial_path_response,air_defense_systems|candidate_positions|defense_radius|drone_entry_point|drone_start_point|json|md|path_cost_weights,15314
P015-S05,P015,6,1,23,8,4,"[air_defense_systems,path_planning_graph]|[air_defense_systems]|[candidate_positions]|[path_planning_graph]",candidate_selected|coverage_visit_activation|interception_active|node_covered_by_selected_deployment|segment_edge_flow|segment_visits_node,authoritative_candidate_set_no_filter|binary_selection_domain|candidate_membership|interception_activation_links_to_coverage|node_potential_segment_binding|path_cost_objective_binding|public_interval_update_for_replanning|replanned_segment_flow_conservation|replayed_objective_value|sequential_response_segment_accounting|solution_view_selection_mapping,wta.linear_selected_contribution,air_defense_systems|candidate_positions|defense_radius|drone_entry_point|drone_start_point|path_cost_weights|replayed_objective_value|selected_engagements,15157
P015-S06,P015,3,1,4,1,3,[]|[candidate_positions]|[threats],engagement_start_selection|radar_support_assignment|threat_engaged_indicator,coverage_linking|fixed_previous_engagements|radar_support_capacity|weapon_round_limit,,public_instance_data,14980
P015-S07,P015,11,1,7,15,3,[]|[candidate_positions]|[path_planning_graph],covered_node|original_edge_activation|original_path_node_potential|replanned_edge_activation|replanned_path_node_potential|replanned_segment_activation|segment_covered_node_activation|segment_edge_flow|segment_total_cost|segment_visited_node|selected_candidate_assignment,interception_activation_links_to_coverage|node_potential_segment_binding|path_cost_objective_binding|public_candidate_membership|public_interval_update_for_replanning|replanned_segment_flow_conservation|sequential_response_segment_accounting,wta.linear_selected_contribution,'note': 'planner evidence only|'sha256': '09015d618c0e206753889af7728815c9fdc9def571cf07ffb317d70d1cb5f103'}|'sha256': '690a97f2b3999a10ba25f54518ceda47745db30a69f80e0ec56a39fdfaa9762c'}|'sha256': '855cb6e146383b0177d538b4fa67b395e05c8236f9f93d7cd1397d17b4a7f7c7'}|'}|air_defense_systems'|candidate_positions'}|json'|md'|{'id': 'd01'|{'id': 'd02'|{'id': 'd03'|{'id': 'd04'|{'id': 'd05',15225
P016-S04,P016,2,1,1,5,1,[],assignment_selected|effort_assigned,public_candidate_membership,wta.linear_selected_contribution,json|md|targets|weapons,15527
P016-S05,P016,4,1,6,5,3,[]|[targets]|[weapons],target_selection|weapon_selection|weapon_target_assignment|weapon_target_effort,binary_selection|per_weapon_assignment|per_weapon_effort_budget|relaxation_effort_bounds|target_candidate_membership|weapon_candidate_membership,wta.linear_selected_contribution,json|md|targets|weapons,15183
